time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2019-01-01T00:00,0,20.3,6,12.8,18.9,3.8,11.1,2019-01-01T07:13,2019-01-01T17:35,37284.84,33095.89,0,0,0,0,10.2,19.8,285,12.81,2.18
2019-01-02T00:00,1,21.2,7.7,14.3,20,6,12.9,2019-01-02T07:14,2019-01-02T17:35,37311.32,34103.6,0,0,0,0,10.5,22,114,12.62,2.25
2019-01-03T00:00,0,20.8,7.6,13.6,18.1,5.8,11.5,2019-01-03T07:14,2019-01-03T17:36,37340.32,34248.67,0,0,0,0,14.9,30.2,303,12.91,2.51
2019-01-04T00:00,1,18.9,7.2,12.8,17.3,4.5,10.9,2019-01-04T07:14,2019-01-04T17:37,37371.79,22306.07,0,0,0,0,12.4,21.6,284,9.51,1.74
2019-01-05T00:00,1,20.6,8,13.5,17.2,5.8,11.1,2019-01-05T07:14,2019-01-05T17:38,37405.64,34100.72,0,0,0,0,18.1,36,113,12.64,2.58
2019-01-06T00:00,53,18.3,9.3,13.2,17.2,7.6,11.6,2019-01-06T07:14,2019-01-06T17:38,37441.82,32396.74,2.3,2.3,0,7,16.6,34.2,36,9.82,1.73
2019-01-07T00:00,0,19.1,7.8,12.6,17,5.8,10.9,2019-01-07T07:14,2019-01-07T17:39,37480.23,34431.23,0,0,0,0,10.5,23.4,317,13.05,2.21
2019-01-08T00:00,3,18.4,7.6,12.3,15.7,5.5,10.2,2019-01-08T07:15,2019-01-08T17:40,37520.82,31441.08,0,0,0,0,14.6,29.5,291,11.93,2.16
2019-01-09T00:00,0,19.4,8.1,12.7,16,5.2,10,2019-01-09T07:15,2019-01-09T17:41,37563.52,34522.92,0,0,0,0,18,36.4,292,13.43,2.56
2019-01-10T00:00,0,19.5,6.2,12.9,16.9,3.7,10.6,2019-01-10T07:15,2019-01-10T17:41,37608.24,34572.07,0,0,0,0,11.4,25.2,294,13.58,2.42
2019-01-11T00:00,0,19.5,6.3,13,17.6,3.9,11.2,2019-01-11T07:15,2019-01-11T17:42,37654.94,34623.32,0,0,0,0,10.8,18,110,13.2,2.28
2019-01-12T00:00,1,19.9,8.6,14,18,6.9,12.5,2019-01-12T07:15,2019-01-12T17:43,37703.52,34070.63,0,0,0,0,10.2,22.7,148,13.12,2.35
2019-01-13T00:00,2,21,9.5,14.6,20,7.4,13.4,2019-01-13T07:15,2019-01-13T17:44,37753.91,33316.9,0,0,0,0,13.2,22,357,12.97,2.42
2019-01-14T00:00,0,18.2,8.1,12.6,13.4,5.3,9.1,2019-01-14T07:15,2019-01-14T17:45,37806.07,34788.81,0,0,0,0,20.9,40.3,302,14.32,3.13
2019-01-15T00:00,1,18.8,6.6,11.6,15,2.7,8.1,2019-01-15T07:15,2019-01-15T17:46,37859.9,33894.59,0,0,0,0,17.1,34.9,291,13.82,2.97
2019-01-16T00:00,1,19,6.6,11.8,16.9,4,9.8,2019-01-16T07:14,2019-01-16T17:46,37915.35,29952.12,0,0,0,0,9.4,18.4,155,12.47,2.22
2019-01-17T00:00,0,20.1,7.7,12.9,18.4,5.3,11.2,2019-01-17T07:14,2019-01-17T17:47,37972.34,34970.24,0,0,0,0,9.7,22.7,332,14.08,2.43
2019-01-18T00:00,0,20.4,5.8,12.2,18.2,3.4,10.1,2019-01-18T07:14,2019-01-18T17:48,38030.8,35033.89,0,0,0,0,10.8,21.6,301,14.28,2.5
2019-01-19T00:00,1,22.8,7.2,14.6,20.6,5.2,13,2019-01-19T07:14,2019-01-19T17:49,38090.7,35099.12,0,0,0,0,9.7,19.1,288,13.83,2.61
