time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),apparent_temperature_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
01-01-2019,1,29.9,15,21.8,29.9,14.2,21.2,2019-01-01T07:11,2019-01-01T18:11,39606.59,35918.35,0,0,0,0,13.9,27.7,17,16.71,4.02
02-01-2019,1,30.2,15.5,22.5,30.5,14.6,21.8,2019-01-02T07:12,2019-01-02T18:12,39623.08,35988.27,0,0,0,0,17.9,31,354,17.62,4.53
03-01-2019,0,29.5,15.1,21.9,30.2,14.1,21.6,2019-01-03T07:12,2019-01-03T18:13,39641.14,35971.2,0,0,0,0,13,22.7,0,17.52,4.1
04-01-2019,0,30.1,15.5,21.9,30.8,15,22.1,2019-01-04T07:12,2019-01-04T18:13,39660.73,36047.75,0,0,0,0,16.3,31,351,17.66,3.97
05-01-2019,0,28.5,16.1,22.3,29,15.7,22.5,2019-01-05T07:13,2019-01-05T18:14,39681.82,36033.53,0,0,0,0,15.6,33.5,339,17.65,4.03
06-01-2019,0,30,16.7,22.5,28.8,16.2,21.7,2019-01-06T07:13,2019-01-06T18:15,39704.35,36116.76,0,0,0,0,23.7,44.6,347,17.85,4.74
07-01-2019,0,30.6,17.8,23.3,31.2,16.8,22.2,2019-01-07T07:13,2019-01-07T18:15,39728.29,36105.43,0,0,0,0,20.3,35.3,359,17.77,5.02
08-01-2019,0,30,17.4,22.3,30.5,16.1,21.3,2019-01-08T07:13,2019-01-08T18:16,39753.59,36195.32,0,0,0,0,17.1,33.8,0,17.91,4.64
09-01-2019,1,28.1,14.5,20.9,28.4,13.9,20.5,2019-01-09T07:13,2019-01-09T18:16,39780.2,36289.41,0,0,0,0,16.8,33.5,342,18.15,4.08
10-01-2019,1,28.9,14.8,21.7,30,14.4,21.8,2019-01-10T07:14,2019-01-10T18:17,39808.09,36387.65,0,0,0,0,14.5,28.1,349,17.99,4.02
11-01-2019,0,28.7,15.5,21.9,28.9,15.3,22.2,2019-01-11T07:14,2019-01-11T18:18,39837.21,36384,0,0,0,0,16.3,33.8,337,17.96,3.99
12-01-2019,0,27.3,16.2,21.5,29,16.2,22,2019-01-12T07:14,2019-01-12T18:18,39867.51,36488.62,0,0,0,0,17.1,34.2,338,18.09,3.83
13-01-2019,0,29.5,16.1,21.7,29,15.4,21,2019-01-13T07:14,2019-01-13T18:19,39898.96,36487.9,0,0,0,0,19.6,38.5,344,18.3,4.51
14-01-2019,0,29.8,16.7,23,30.8,15.7,22.5,2019-01-14T07:14,2019-01-14T18:20,39931.51,36487.89,0,0,0,0,18.7,36,352,17.96,4.69
15-01-2019,0,31.6,19,23.9,33.4,18.7,23.8,2019-01-15T07:14,2019-01-15T18:20,39965.12,36601,0,0,0,0,18.1,33.8,14,17.92,4.71
16-01-2019,0,30.5,17.6,23.7,33,18,24.6,2019-01-16T07:14,2019-01-16T18:21,39999.75,36604.04,0,0,0,0,15.6,30.2,349,17.91,4.09
17-01-2019,0,29.6,18.1,23.3,31.3,18.8,23.8,2019-01-17T07:14,2019-01-17T18:22,40035.35,36838.53,0,0,0,0,17.1,33.1,345,18.14,4.33
18-01-2019,1,29.3,16.6,22.5,30.7,16.8,22.9,2019-01-18T07:14,2019-01-18T18:22,40071.88,36962.73,0,0,0,0,15.3,29.5,348,18.43,4.11
19-01-2019,1,31.1,16.9,23.6,32.8,17.8,25,2019-01-19T07:14,2019-01-19T18:23,40109.33,36972.41,0,0,0,0,13.8,27.4,337,18.29,3.98
20-01-2019,0,31.1,17.7,24.1,33.3,18.7,26,2019-01-20T07:14,2019-01-20T18:24,40148.07,37102.29,0,0,0,0,14,28.4,345,18.36,3.95
21-01-2019,1,27.9,18.4,23.2,29.8,20.1,25.1,2019-01-21T07:14,2019-01-21T18:24,40188.21,37235.5,0,0,0,0,16.6,35.3,322,18.4,3.79
